preset,Taylor_Q,E_thin_k,E_direct_k,error
<<<<<<< HEAD
1,1,0.9131884219794922,0.9132039031786724,1.6952620467640794e-5
1,2,0.9132044307404923,0.9132039031786724,5.77704298087201e-7
1,3,0.913203900722732,0.9132039031786724,2.689366888858279e-9
1,4,0.9132039031865953,0.9132039031786724,8.675920616474147e-12
1,5,0.9132039031786655,0.9132039031786724,7.537618629000983e-15
1,6,0.9132039031786858,0.9132039031786724,1.4710513775953532e-14
1,7,0.9132039031786859,0.9132039031786724,1.4832088269969676e-14
1,8,0.9132039031786857,0.9132039031786724,1.4588939281937385e-14
2,1,0.9821639430112066,0.9812535111305236,0.0009278253482466848
2,2,0.9812457154383484,0.9812535111305236,7.944626018466002e-6
2,3,0.9812535648207639,0.9812535111305236,5.47159726255076e-8
2,4,0.9812535108393677,0.9812535111305236,2.967183035607157e-10
2,5,0.9812535111318059,0.9812535111305236,1.306805610269543e-12
2,6,0.9812535111305277,0.9812535111305236,4.186303686577757e-15
2,7,0.9812535111305323,0.9812535111305236,8.825180744677434e-15
2,8,0.9812535111305322,0.9812535111305236,8.712037401796953e-15
3,1,1.8915547473653842,1.8918245069474993,0.00014259228650670246
3,2,1.8918294392274015,1.8918245069474993,2.6071550950777196e-6
3,3,1.891824512049051,1.8918245069474993,2.6966305959647233e-9
3,4,1.8918245060443077,1.8918245069474993,4.774182373978445e-10
3,5,1.8918245069639246,1.8918245069474993,8.682256467129679e-12
3,6,1.891824506947323,1.8918245069474993,9.319226792074087e-14
3,7,1.8918245069475204,1.8918245069474993,1.1150208378426176e-14
3,8,1.8918245069475188,1.8918245069474993,1.0328614076857931e-14
=======
1,1,0.8433883669838853,0.8434905326189366,0.00012112244429592439
1,2,0.8434912435071782,0.8434905326189366,8.427933854800163e-7
1,3,0.8434905288793836,0.8434905326189366,4.433426168971339e-9
1,4,0.8434905326329637,0.8434905326189366,1.6629840243818794e-11
1,5,0.8434905326188933,0.8434905326189366,5.13327610517973e-14
1,6,0.8434905326189349,0.8434905326189366,1.974336963530665e-15
1,7,0.8434905326189348,0.8434905326189366,2.105959427766043e-15
1,8,0.8434905326189348,0.8434905326189366,2.105959427766043e-15
1,9,0.8434905326189348,0.8434905326189366,2.105959427766043e-15
1,10,0.8434905326189348,0.8434905326189366,2.105959427766043e-15
1,11,0.8434905326189348,0.8434905326189366,2.105959427766043e-15
1,12,0.8434905326189348,0.8434905326189366,2.105959427766043e-15
1,13,0.8434905326189348,0.8434905326189366,2.105959427766043e-15
1,14,0.8434905326189348,0.8434905326189366,2.105959427766043e-15
1,15,0.8434905326189348,0.8434905326189366,2.105959427766043e-15
2,1,0.9214459075314072,0.9215659856258968,0.00013029788030641967
2,2,0.9215679423606791,0.9215659856258968,2.1232714887874027e-6
2,3,0.9215659730539951,0.9215659856258968,1.3641889812484675e-8
2,4,0.9215659856844292,0.9215659856258968,6.351406417025799e-11
2,5,0.9215659856256845,0.9215659856258968,2.3034122962357395e-13
2,6,0.9215659856259,0.9215659856258968,3.4936692777634125e-15
2,7,0.9215659856258995,0.9215659856258968,3.0117838601408727e-15
2,8,0.9215659856258995,0.9215659856258968,3.0117838601408727e-15
2,9,0.9215659856258995,0.9215659856258968,3.0117838601408727e-15
2,10,0.9215659856258995,0.9215659856258968,3.0117838601408727e-15
2,11,0.9215659856258995,0.9215659856258968,3.0117838601408727e-15
2,12,0.9215659856258995,0.9215659856258968,3.0117838601408727e-15
2,13,0.9215659856258995,0.9215659856258968,3.0117838601408727e-15
2,14,0.9215659856258995,0.9215659856258968,3.0117838601408727e-15
2,15,0.9215659856258995,0.9215659856258968,3.0117838601408727e-15
3,1,1.2507151513094257,1.2502745369409918,0.0003524140941972136
3,2,1.2502631234161576,1.2502745369409918,9.128814909772847e-6
3,3,1.2502747240005994,1.2502745369409918,1.4961482622780396e-7
3,4,1.250274534551513,1.2502745369409918,1.911163321668045e-9
3,5,1.2502745369660948,1.2502745369409918,2.007801488672504e-11
3,6,1.250274536940769,1.2502745369409918,1.7812946849633994e-13
3,7,1.2502745369409938,1.2502745369409918,1.5983701061486136e-15
3,8,1.2502745369409924,1.2502745369409918,5.327900353828712e-16
3,9,1.2502745369409924,1.2502745369409918,5.327900353828712e-16
3,10,1.2502745369409924,1.2502745369409918,5.327900353828712e-16
3,11,1.2502745369409924,1.2502745369409918,5.327900353828712e-16
3,12,1.2502745369409924,1.2502745369409918,5.327900353828712e-16
3,13,1.2502745369409924,1.2502745369409918,5.327900353828712e-16
3,14,1.2502745369409924,1.2502745369409918,5.327900353828712e-16
3,15,1.2502745369409924,1.2502745369409918,5.327900353828712e-16
4,1,1.3467126819550228,1.3473537301223975,0.00047578312438888073
4,2,1.3473633648746919,1.3473537301223975,7.150870687502615e-6
4,3,1.3473535506242853,1.3473537301223975,1.3322270769634554e-7
4,4,1.3473537336755546,1.3473537301223975,2.6371375403798062e-9
4,5,1.3473537300584222,1.3473537301223975,4.748216306981493e-11
4,6,1.3473537301234075,1.3473537301223975,7.496775978140564e-13
4,7,1.3473537301223917,1.3473537301223975,4.284813704806654e-15
4,8,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,9,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,10,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,11,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,12,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,13,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,14,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,15,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
5,1,1.7845564990946254,1.7882045106254583,0.0020400415663624893
5,2,1.7883618238145578,1.7882045106254583,8.797270567474569e-5
5,3,1.788198059511122,1.7882045106254583,3.607593146057268e-6
5,4,1.7882047267884533,1.7882045106254583,1.2088270316666092e-7
5,5,1.7882045046393733,1.7882045106254583,3.34753934769901e-9
5,6,1.7882045107662246,1.7882045106254583,7.87193448393733e-11
5,7,1.7882045106226045,1.7882045106254583,1.5958562041085339e-12
5,8,1.7882045106255295,1.7882045106254583,3.9859153557332667e-14
5,9,1.7882045106254774,1.7882045106254583,1.0678776342462957e-14
5,10,1.7882045106254782,1.7882045106254583,1.117546361420542e-14
5,11,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
5,12,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
5,13,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
5,14,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
5,15,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
6,1,2.4510575370942034,2.4536074656243723,0.0010392569169657318
6,2,2.4537421717928294,2.4536074656243723,5.4901271024150044e-5
6,3,2.4536023429768434,2.4536074656243723,2.0878023891767205e-6
6,4,2.453607622650578,2.4536074656243723,6.399809587144608e-8
6,5,2.4536074615553822,2.4536074656243723,1.6583704161355984e-9
6,6,2.453607465716499,2.4536074656243723,3.754746917073051e-11
6,7,2.453607465622536,2.4536074656243723,7.484118419336165e-13
6,8,2.4536074656244447,2.4536074656243723,2.950208711854401e-14
6,9,2.4536074656244065,2.4536074656243723,1.3936568761520789e-14
6,10,2.4536074656244105,2.4536074656243723,1.556551835702322e-14
6,11,2.45360746562441,2.4536074656243723,1.538452395752295e-14
6,12,2.45360746562441,2.4536074656243723,1.538452395752295e-14
6,13,2.45360746562441,2.4536074656243723,1.538452395752295e-14
6,14,2.45360746562441,2.4536074656243723,1.538452395752295e-14
6,15,2.45360746562441,2.4536074656243723,1.538452395752295e-14
>>>>>>> main
